feature	Corticosterone	Glutamic_acid	Glutamine	Histamine	Indolelactic_acid	Kynurenic_acid	Kynurenine	Serotonin	Thyroxine	Tryptophan	GABA
R1_S1_6342	31085	227242	1616692	17073	28115	19293	98958	3827280	11421	11894884	34262
R1_S11_6324	43331	209897	1414850	25119	25696	13931	112828	3231473	6544	14548817	48177
R1_S12_6344	26797	354490	1636568	36252	19703	12520	117755	2152214	6353	12862708	41203
R1_S15_6327	63795	222018	1689093	18143	31082	31981	141981	1564996	8564	16805014	43668
R1_S17_6357	8630	251493	1323054	18609	37955	36753	160192	3072841	7651	18431510	44908
R1_S18_6329	66085	313649	1808228	16128	27795	20678	150804	3309144	7510	15296231	53897
R1_S20_6193	118134	320907	1636888	26098	29365	26574	148599	2237142	6819	14364480	50042
R1_S22_6188	103011	266879	1485058	19045	27301	12794	130824	3259249	12759	15102808	41189
R1_S24_6330	54616	469459	1428754	25936	26729	15453	88942	4070754	9566	15214655	48964
R1_S26_6191	74473	259238	1720827	22994	21209	20942	126845	3809938	8610	16342613	67366
R1_S27_6346	64309	293281	1491878	12222	23633	46061	135579	3074805	8541	18373664	80493
R1_S3_6326	112801	385306	1481964	28431	34034	21512	192807	3672637	6602	18578428	51791
R1_S31_6343	33947	312428	1344849	22401	25866	58652	248278	3336888	9259	19681328	64854
R1_S32_6335	74921	250835	1470337	14564	19689	33032	142468	3044305	7629	17860050	54516
R1_S35_6356	13151	289142	1363470	19378	19018	24921	130045	2837522	7839	15801643	49733
R1_S38_6178	93796	447093	1779138	46003	16452	13970	86115	2165569	9384	10645272	64397
R1_S39_6355	17637	320769	1593506	18450	14623	13469	114006	3167865	9003	13924046	42302
R1_S40_6181	61700	419708	1662944	22932	20474	30932	198700	4100507	9614	16715806	86505
R1_S41_6292	47335	467936	1696200	34016	24666	13643	127779	4086424	7553	13573525	84379
R1_S7_6192	64003	216629	1446314	13385	27481	19023	146415	2954529	8510	14708930	35838
R1_S8_6334	33345	162922	1808253	14284	24782	17432	160110	3260309	11151	16208520	46813
R1_S9_6189	34664	317528	1625851	45796	17800	11841	120014	1819968	9539	14204417	41077
R3_S11_6456	49743	222315	1406305	14466	15091	14205	75181	3230218	9814	14129334	46580
R3_S12_6425	4496	311939	1412282	11683	15608	17580	79284	2925876	10376	11131848	40506
R3_S15_6468	51525	247962	1469045	17738	22767	34510	131284	4556338	10873	17021258	41575
R3_S16_6459	25763	260599	1281219	17722	29473	25149	137241	3250410	9997	19139326	17443
R3_S17_6429	17674	299421	1486740	26754	21095	29425	102772	3350750	9486	14560136	62852
R3_S19_6466	25688	246045	1485918	10046	33586	31950	133883	2745123	16192	18042624	42072
R3_S20_6453	73382	187788	1539909	41840	15594	42146	118364	3110145	9680	16732974	36700
R3_S21_6385	88091	315324	1295831	12499	21137	17507	81908	2773834	10953	20349990	39571
R3_S25_6375	99445	404721	1469499	12625	35865	31588	101906	2649200	14224	16610983	47424
R3_S27_6465	56625	218802	1419292	16039	19698	25591	119601	1530595	7830	14840681	25611
R3_S29_6376	36643	220409	1397459	19284	19317	25657	102016	3616675	10152	13965384	47471
R3_S3_6383	35894	264350	1383894	12439	24262	12688	105995	1351865	9518	15065666	50228
R3_S31_6430	43005	347022	1337942	18343	24862	18945	98168	2596503	15631	15757117	50142
R3_S32_6371	65725	278791	1565490	16918	14181	32740	96543	3804131	10459	16583699	53834
R3_S35_6427	49149	258236	1216030	25157	15327	19793	93888	1881289	9948	13322369	34365
R3_S37_6420	75695	204882	1053617	18351	31022	44281	134132	2755609	12240	15500971	98051
R3_S38_6388	53186	238537	1276658	21744	17697	21420	85428	3437406	9919	13732955	50562
R3_S4_6463	39097	377343	1414121	20438	19661	26833	92738	2915565	8350	18948782	35639
R3_S40_6416	7784	235540	1111184	25032	17013	16056	109013	2522669	10106	14039280	36929
R3_S43_6421	19658	264349	1187451	16422	25664	32618	117242	3125980	16539	14908214	37153
R3_S6_6418	67926	244404	1715564	15992	13241	17225	112556	3254361	6107	12523342	56870
R3_S8_6382	68161	293059	1314543	16628	18919	15829	96489	4175509	9006	17649692	31463
